address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Leinster Street South,7,6,Thursday,29/03/2018 06:05,0
Leinster Street South,12,7,Thursday,29/03/2018 07:01,0
Leinster Street South,26,8,Thursday,29/03/2018 08:04,0
Leinster Street South,30,9,Thursday,29/03/2018 09:04,0
Leinster Street South,30,10,Thursday,29/03/2018 10:04,0
Leinster Street South,29,11,Thursday,29/03/2018 11:01,10
Leinster Street South,20,12,Thursday,29/03/2018 12:00,30
Leinster Street South,27,13,Thursday,29/03/2018 13:00,30
Leinster Street South,26,14,Thursday,29/03/2018 14:00,45
Leinster Street South,24,15,Thursday,29/03/2018 15:07,40
Leinster Street South,29,16,Thursday,29/03/2018 16:04,30
Leinster Street South,29,17,Thursday,29/03/2018 17:02,30
Leinster Street South,29,18,Thursday,29/03/2018 18:08,30
Leinster Street South,29,19,Thursday,29/03/2018 19:07,40
Leinster Street South,20,20,Thursday,29/03/2018 20:08,30
Leinster Street South,9,21,Thursday,29/03/2018 21:04,25
Leinster Street South,6,22,Thursday,29/03/2018 22:08,30
Leinster Street South,5,23,Thursday,29/03/2018 23:06,40
Leinster Street South,3,6,Friday,30/03/2018 06:01,0
Leinster Street South,4,7,Friday,30/03/2018 07:10,0
Leinster Street South,5,8,Friday,30/03/2018 08:04,0
Leinster Street South,6,9,Friday,30/03/2018 09:07,0
Leinster Street South,12,10,Friday,30/03/2018 10:02,20
Leinster Street South,18,11,Friday,30/03/2018 11:06,20
Leinster Street South,22,12,Friday,30/03/2018 12:02,20
Leinster Street South,25,13,Friday,30/03/2018 13:04,20
Leinster Street South,26,14,Friday,30/03/2018 14:07,20
Leinster Street South,12,15,Friday,30/03/2018 15:04,0
Leinster Street South,15,16,Friday,30/03/2018 16:07,0
Leinster Street South,18,17,Friday,30/03/2018 17:02,20
Leinster Street South,18,18,Friday,30/03/2018 18:04,0
Leinster Street South,17,19,Friday,30/03/2018 19:00,0
Leinster Street South,13,20,Friday,30/03/2018 20:01,0
Leinster Street South,12,21,Friday,30/03/2018 21:05,0
Leinster Street South,10,22,Friday,30/03/2018 22:01,0
Leinster Street South,8,23,Friday,30/03/2018 23:07,0
Leinster Street South,12,6,Saturday,31/03/2018 06:08,0
Leinster Street South,13,7,Saturday,31/03/2018 07:05,0
Leinster Street South,13,8,Saturday,31/03/2018 08:04,0
Leinster Street South,15,9,Saturday,31/03/2018 09:05,0
Leinster Street South,16,10,Saturday,31/03/2018 10:03,0
Leinster Street South,14,11,Saturday,31/03/2018 11:07,0
Leinster Street South,8,12,Saturday,31/03/2018 12:05,0
Leinster Street South,10,13,Saturday,31/03/2018 13:03,0
Leinster Street South,11,14,Saturday,31/03/2018 14:00,0
Leinster Street South,15,15,Saturday,31/03/2018 15:01,0
Leinster Street South,10,16,Saturday,31/03/2018 16:00,0
Leinster Street South,5,17,Saturday,31/03/2018 17:04,0
Leinster Street South,6,18,Saturday,31/03/2018 18:04,0
Leinster Street South,9,19,Saturday,31/03/2018 19:11,0
Leinster Street South,7,20,Saturday,31/03/2018 20:02,0
Leinster Street South,6,21,Saturday,31/03/2018 21:07,0
Leinster Street South,6,22,Saturday,31/03/2018 22:07,0
Leinster Street South,3,23,Saturday,31/03/2018 23:05,0
Leinster Street South,5,6,Sunday,01/04/2018 06:08,30
Leinster Street South,7,7,Sunday,01/04/2018 07:05,30
Leinster Street South,10,8,Sunday,01/04/2018 08:02,0
Leinster Street South,15,9,Sunday,01/04/2018 09:09,0
Leinster Street South,20,10,Sunday,01/04/2018 10:06,0
Leinster Street South,23,11,Sunday,01/04/2018 11:05,0
Leinster Street South,27,12,Sunday,01/04/2018 12:00,0
Leinster Street South,29,13,Sunday,01/04/2018 13:03,0
Leinster Street South,27,14,Sunday,01/04/2018 14:09,0
Leinster Street South,26,15,Sunday,01/04/2018 15:03,0
Leinster Street South,24,16,Sunday,01/04/2018 16:03,0
Leinster Street South,24,17,Sunday,01/04/2018 17:07,0
Leinster Street South,23,18,Sunday,01/04/2018 18:04,0
Leinster Street South,24,19,Sunday,01/04/2018 19:01,0
Leinster Street South,25,20,Sunday,01/04/2018 20:05,45
Leinster Street South,25,21,Sunday,01/04/2018 21:06,50
Leinster Street South,25,22,Sunday,01/04/2018 22:06,50
Leinster Street South,23,23,Sunday,01/04/2018 23:01,60
Leinster Street South,22,6,Monday,02/04/2018 06:07,70
Leinster Street South,23,7,Monday,02/04/2018 07:08,70
Leinster Street South,23,8,Monday,02/04/2018 08:02,60
Leinster Street South,24,9,Monday,02/04/2018 09:06,70
Leinster Street South,25,10,Monday,02/04/2018 10:08,65
Leinster Street South,25,11,Monday,02/04/2018 11:03,70
Leinster Street South,27,12,Monday,02/04/2018 12:00,70
Leinster Street South,29,13,Monday,02/04/2018 13:05,70
Leinster Street South,30,14,Monday,02/04/2018 14:01,60
Leinster Street South,29,15,Monday,02/04/2018 15:07,60
Leinster Street South,28,16,Monday,02/04/2018 16:02,60
Leinster Street South,25,17,Monday,02/04/2018 17:10,50
Leinster Street South,25,18,Monday,02/04/2018 18:01,40
Leinster Street South,23,19,Monday,02/04/2018 19:05,0
Leinster Street South,20,20,Monday,02/04/2018 20:05,0
Leinster Street South,21,21,Monday,02/04/2018 21:03,40
Leinster Street South,21,22,Monday,02/04/2018 22:02,50
Leinster Street South,20,23,Monday,02/04/2018 23:03,60
Leinster Street South,26,6,Tuesday,03/04/2018 06:05,0
Leinster Street South,26,7,Tuesday,03/04/2018 07:05,20
Leinster Street South,27,8,Tuesday,03/04/2018 08:02,20
Leinster Street South,26,9,Tuesday,03/04/2018 09:08,0
Leinster Street South,10,10,Tuesday,03/04/2018 10:01,0
Leinster Street South,11,11,Tuesday,03/04/2018 11:01,0
Leinster Street South,20,12,Tuesday,03/04/2018 12:02,30
Leinster Street South,9,13,Tuesday,03/04/2018 13:02,40
Leinster Street South,6,14,Tuesday,03/04/2018 14:02,20
Leinster Street South,3,15,Tuesday,03/04/2018 15:07,20
Leinster Street South,5,16,Tuesday,03/04/2018 16:04,30
Leinster Street South,5,17,Tuesday,03/04/2018 17:04,0
Leinster Street South,2,18,Tuesday,03/04/2018 18:00,0
Leinster Street South,0,19,Tuesday,03/04/2018 19:01,0
Leinster Street South,1,20,Tuesday,03/04/2018 20:04,0
Leinster Street South,0,21,Tuesday,03/04/2018 21:06,0
Leinster Street South,1,22,Tuesday,03/04/2018 22:09,0
Leinster Street South,0,23,Tuesday,03/04/2018 23:03,0
Leinster Street South,8,6,Wednesday,04/04/2018 06:09,40
Leinster Street South,10,7,Wednesday,04/04/2018 07:03,40
Leinster Street South,19,8,Wednesday,04/04/2018 08:03,30
Leinster Street South,24,9,Wednesday,04/04/2018 09:05,40
Leinster Street South,25,10,Wednesday,04/04/2018 10:06,40
Leinster Street South,24,11,Wednesday,04/04/2018 11:03,20
Leinster Street South,16,12,Wednesday,04/04/2018 12:04,0
Leinster Street South,17,13,Wednesday,04/04/2018 13:08,10
Leinster Street South,20,14,Wednesday,04/04/2018 14:04,0
Leinster Street South,19,15,Wednesday,04/04/2018 15:01,20
Leinster Street South,20,16,Wednesday,04/04/2018 16:01,20
Leinster Street South,11,17,Wednesday,04/04/2018 17:06,40
Leinster Street South,2,18,Wednesday,04/04/2018 18:06,0
Leinster Street South,1,19,Wednesday,04/04/2018 19:03,0
Leinster Street South,1,20,Wednesday,04/04/2018 20:08,0
Leinster Street South,1,21,Wednesday,04/04/2018 21:01,40
Leinster Street South,0,22,Wednesday,04/04/2018 22:08,30
Leinster Street South,0,23,Wednesday,04/04/2018 23:02,30